missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.1,mean_fill,long,54,825255,825255,0,112032032.8125,57486695008.0,98802.37939453124,820254,60356.122467041016,823589,0.0,10468.935546875,135.75444294490794,263.93050481909086,0.120453395404998,0.0732842746406775,0.0252108252684653,True
0.1,mean_fill,mid,54,1291258,1291258,1,167504452.875,81772684416.0,297341.6278381348,1284162,89802.96850585938,1289016,0.0,10389.98046875,129.72190908013735,251.6503940910536,0.2315452628547915,0.0696678462531569,0.0242204876946538,True
0.1,mean_fill,short,54,19671416,19671416,1,2552277444.0,1248832902144.0,2036790.658203125,19558887,1375229.751953125,19634426,0.0,10465.4638671875,129.74548675092836,251.9615984051072,0.1041363272973111,0.0700417599146073,0.0240755308701686,True
0.1,road_topology_neighbor_fill,long,54,825255,825255,0,428304643.125,589256398336.0,270334.5848388672,820254,171541.78912353516,824764,0.0,10468.935546875,518.9967260119599,845.0026507533506,0.3295742353452311,0.2079889388037488,0.0807152405294524,True
0.1,road_topology_neighbor_fill,mid,54,1291258,1291258,0,663874852.0,900385910272.0,745733.7489013672,1284162,264232.6192626953,1290607,0.0,10389.98046875,514.1302915451444,835.0410633506622,0.5807162561276281,0.2047351511828893,0.0803698395643976,True
0.1,road_topology_neighbor_fill,short,54,19671416,19671416,0,10139637232.0,13841425743872.0,5967122.7578125,19558887,4044364.1640625,19661511,0.0,10465.4638671875,515.4502976298198,838.8273886761317,0.3050849855522198,0.2056995601234564,0.0801519549750792,True
0.2,correlation_topology_neighbor_fill,long,54,907843,907843,50631,48026715.03125,15351026226.0,32300.022327423096,903004,30989.30457305908,906906,0.0,10436.869140625,52.90200511679883,130.03591926859997,0.0357695229782183,0.0341703600737662,0.0124592842466943,True
0.2,correlation_topology_neighbor_fill,mid,54,1224720,1224720,68034,64473421.71875,20795966024.0,50747.81422424317,1217810,42460.743591308594,1223510,0.0,10392.5244140625,52.64339744492619,130.30801962694875,0.0416713725657066,0.0347040429512701,0.012538630118648,True
0.2,correlation_topology_neighbor_fill,short,54,41443227,41443227,2251025,2161383748.0,690361635840.0,1442021.611328125,41207591,1427464.328125,41401491,0.0,10477.7548828125,52.152882496336495,129.06590834925998,0.0349940769730539,0.0344785729606936,0.0123180881584639,True
0.2,forward_fill,long,54,907843,907843,0,171385098.21875,128771487104.0,115285.26020812988,903004,87375.45133972168,905054,0.0,10436.869140625,188.78275012171707,376.6209555679904,0.1276686041347877,0.096541699544692,0.0360856259184099,True
0.2,forward_fill,mid,54,1224720,1224720,0,207413668.0625,145891372000.0,159824.92706298828,1217810,108820.48791503906,1220634,0.0,10392.5244140625,169.35598999158992,345.1408777416475,0.1312396244594709,0.0891507920597321,0.0332104947739766,True
0.2,forward_fill,short,54,41443227,41443227,0,3959012828.0,1664802357248.0,2836440.98828125,41207591,2189515.93359375,41266993,0.0,10477.7548828125,95.52858487588334,200.4262305728083,0.0688329727472118,0.0530573171055557,0.0191287382473113,True
0.2,function_curve_fit,long,54,907843,907843,0,124085981.6875,61399706512.0,92890.40110778809,903004,68529.54081726074,907843,0.0,10436.869140625,136.6822035170178,260.0625238636859,0.1028682055758203,0.0754861146886198,0.0249176760156362,True
