missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.3,zero_fill,14,14,low_flow,False,401877,401877,0,1294.6944580078125,1323.37744140625,1.0,2.0,0.889012477786185,520307904.0,703818432512.0,395289.0,395289,790578.0,395289,0.0,1488.5926513671875
0.3,zero_fill,14,14,mid_flow,False,405704,405704,0,2272.696044921875,2329.298583984375,1.0,2.0,1.6365528672502525,922041856.0,2201200361472.0,405704.0,405704,811408.0,405704,1488.593505859375,2911.88916015625
0.3,zero_fill,14,14,overall,False,1210222,1210222,0,2437.68994140625,2716.5380859375,1.0,2.0,0.2632097120200081,2950146048.0,8930929410048.0,1203634.0,1203634,2407268.0,1203634,0.0,10320.8125
0.3,zero_fill,15,15,high_flow,False,397699,397699,0,3743.737548828125,3867.08544921875,1.0,2.0,0.5203749926409675,1488880640.0,5947330134016.0,397699.0,397699,795398.0,397699,2911.8896484375,10343.2333984375
0.3,zero_fill,15,15,low_flow,False,403888,403888,0,1291.33544921875,1322.2227783203125,1.0,2.0,0.8882369491483448,521554880.0,706106490880.0,396258.0,396258,792516.0,396258,0.0,1488.5924072265625
0.3,zero_fill,15,15,mid_flow,False,408016,408016,0,2271.89892578125,2328.055419921875,1.0,2.0,1.6356798476110102,926971136.0,2211382296576.0,408016.0,408016,816032.0,408016,1488.5933837890625,2911.888671875
0.3,zero_fill,15,15,overall,False,1209603,1209603,0,2428.40478515625,2707.157470703125,1.0,2.0,0.261732223031154,2937405696.0,8864819838976.0,1201973.0,1201973,2403946.0,1201973,0.0,10343.2333984375
0.3,zero_fill,16,16,high_flow,False,399366,399366,0,3744.8076171875,3869.484130859375,1.0,2.0,0.5143855157639583,1495548800.0,5979669790720.0,399366.0,399366,798732.0,399366,2911.892578125,10434.4296875
0.3,zero_fill,16,16,low_flow,False,406107,406107,0,1292.65380859375,1322.649169921875,1.0,2.0,0.8885230971565747,524955744.0,710443925504.0,398521.0,398521,797042.0,398521,0.0,1488.5928955078125
0.3,zero_fill,16,16,mid_flow,False,405000,405000,0,2277.45361328125,2333.271484375,1.0,2.0,1.639346033856149,922368704.0,2204882960384.0,405000.0,405000,810000.0,405000,1488.5931396484375,2911.88720703125
0.3,zero_fill,16,16,overall,False,1210473,1210473,0,2431.176513671875,2710.78662109375,1.0,2.0,0.2597925044567751,2942873600.0,8894996807680.0,1202887.0,1202887,2405774.0,1202887,0.0,10434.4296875
0.3,zero_fill,17,17,high_flow,False,402628,402628,0,3747.11669921875,3871.429443359375,1.0,2.0,0.5163715746335964,1508694144.0,6034574802944.0,402628.0,402628,805256.0,402628,2911.890380859375,10409.26171875
0.3,zero_fill,17,17,low_flow,False,407099,407099,0,1292.79736328125,1321.1962890625,1.0,2.0,0.88754730596865,526296512.0,710615629824.0,400425.0,400425,800850.0,400425,0.0,1488.592529296875
0.3,zero_fill,17,17,mid_flow,False,400711,400711,0,2278.478515625,2334.09814453125,1.0,2.0,1.6399262789579325,913011392.0,2183079395328.0,400711.0,400711,801422.0,400711,1488.5931396484375,2911.8876953125
0.3,zero_fill,17,17,overall,False,1210438,1210438,0,2435.483642578125,2715.89111328125,1.0,2.0,0.26091102199776267,2948002048.0,8928269172736.0,1203764.0,1203764,2407528.0,1203764,0.0,10409.26171875
0.3,zero_fill,18,18,high_flow,False,406931,406931,0,3747.00244140625,3871.848876953125,1.0,2.0,0.517459075814831,1524771456.0,6100389724160.0,406931.0,406931,813862.0,406931,2911.89111328125,10394.31640625
