missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,function_curve_fit,54,54,node_flow_chunk_054.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_054.parquet,807710,0,True,True,completed,recomputed,0.863990300000296,58335766,2026-06-15T04:01:25.152747631+00:00
0.2,function_curve_fit,55,55,node_flow_chunk_055.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_055.parquet,806205,0,True,True,completed,recomputed,0.9524908000003052,58310624,2026-06-15T04:01:36.144863844+00:00
0.2,function_curve_fit,56,56,node_flow_chunk_056.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_056.parquet,806816,0,True,True,completed,recomputed,0.8889458000012382,58335456,2026-06-15T04:01:46.179620266+00:00
0.2,function_curve_fit,57,57,node_flow_chunk_057.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_057.parquet,807370,0,True,True,completed,recomputed,0.8749138000002858,58297086,2026-06-15T04:01:56.491685390+00:00
0.2,function_curve_fit,58,58,node_flow_chunk_058.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_058.parquet,806455,0,True,True,completed,recomputed,1.0004477000002225,58276616,2026-06-15T04:02:07.265662432+00:00
0.2,function_curve_fit,59,59,node_flow_chunk_059.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_059.parquet,807014,0,True,True,completed,recomputed,1.0742847999990772,58276139,2026-06-15T04:02:18.107075691+00:00
0.2,function_curve_fit,60,60,node_flow_chunk_060.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_060.parquet,807290,0,True,True,completed,recomputed,0.996191700000054,58279313,2026-06-15T04:02:29.879948616+00:00
0.2,historical_linear_extrapolation,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_000.parquet,807563,807563,True,True,completed,recomputed,1.1032562000000325,57159259,2026-06-15T03:51:44.388170004+00:00
0.2,historical_linear_extrapolation,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_001.parquet,806458,806458,True,True,completed,recomputed,0.9314620000004652,57083781,2026-06-15T03:51:55.423610210+00:00
0.2,historical_linear_extrapolation,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_002.parquet,807079,0,True,True,completed,recomputed,1.0635600999994494,57966560,2026-06-15T03:52:05.600048780+00:00
0.2,historical_linear_extrapolation,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_003.parquet,806754,0,True,True,completed,recomputed,0.8811642000000575,57981497,2026-06-15T03:52:15.834253550+00:00
0.2,historical_linear_extrapolation,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_004.parquet,807251,0,True,True,completed,recomputed,0.8853380999989895,58014751,2026-06-15T03:52:25.583702803+00:00
0.2,historical_linear_extrapolation,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_005.parquet,807660,0,True,True,completed,recomputed,1.1537727000013547,58079864,2026-06-15T03:52:36.131639481+00:00
0.2,historical_linear_extrapolation,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_006.parquet,807124,0,True,True,completed,recomputed,0.9888021999995544,58086274,2026-06-15T03:52:46.500739098+00:00
0.2,historical_linear_extrapolation,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_007.parquet,806928,0,True,True,completed,recomputed,0.9264789000008022,58103614,2026-06-15T03:52:56.332399607+00:00
0.2,historical_linear_extrapolation,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_008.parquet,806226,0,True,True,completed,recomputed,1.1064046999999846,58016183,2026-06-15T03:53:08.133636951+00:00
0.2,historical_linear_extrapolation,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_009.parquet,805981,0,True,True,completed,recomputed,1.0997476000011375,58015260,2026-06-15T03:53:19.371782064+00:00
0.2,historical_linear_extrapolation,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_010.parquet,808393,0,True,True,completed,recomputed,0.9268857999995816,58055653,2026-06-15T03:53:28.816079855+00:00
0.2,historical_linear_extrapolation,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_011.parquet,807170,0,True,True,completed,recomputed,0.8355873000000429,58022634,2026-06-15T03:53:37.989842415+00:00
0.2,historical_linear_extrapolation,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_012.parquet,805732,0,True,True,completed,recomputed,0.987002300000313,58020705,2026-06-15T03:53:47.550748825+00:00
0.2,historical_linear_extrapolation,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_013.parquet,808570,0,True,True,completed,recomputed,0.8868583000003127,58053092,2026-06-15T03:53:58.275700808+00:00
0.2,historical_linear_extrapolation,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_014.parquet,807025,0,True,True,completed,recomputed,0.9134470999997575,58060442,2026-06-15T03:54:10.322244644+00:00
0.2,historical_linear_extrapolation,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation\node_flow_chunk_015.parquet,807316,0,True,True,completed,recomputed,1.0002956000007543,58005746,2026-06-15T03:54:19.817977190+00:00
