missing_rate,method,chunk_index,day_index,file_name,output_path,row_count,missing_count,fallback_count
0.2,forward_fill,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_020.parquet,4034976,808587,0
0.2,forward_fill,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_021.parquet,4034976,806510,0
0.2,forward_fill,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_022.parquet,4034976,806237,0
0.2,forward_fill,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_023.parquet,4034976,806859,0
0.2,forward_fill,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_024.parquet,4034976,807767,0
0.2,forward_fill,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_025.parquet,4034976,808001,0
0.2,forward_fill,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_026.parquet,4034976,806862,0
0.2,forward_fill,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_027.parquet,4034976,807753,0
0.2,forward_fill,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_028.parquet,4034976,806067,0
0.2,forward_fill,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_029.parquet,4034976,807328,0
0.2,forward_fill,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_030.parquet,4034976,806548,0
0.2,forward_fill,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_031.parquet,4034976,806725,0
0.2,forward_fill,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_032.parquet,4034976,806226,0
0.2,forward_fill,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_033.parquet,4034976,808533,0
0.2,forward_fill,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_034.parquet,4034976,807171,0
0.2,forward_fill,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_035.parquet,4034976,805899,0
0.2,forward_fill,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_036.parquet,4034976,807565,0
0.2,forward_fill,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_037.parquet,4034976,807261,0
0.2,forward_fill,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_038.parquet,4034976,807501,0
0.2,forward_fill,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_039.parquet,4034976,806867,0
0.2,forward_fill,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_040.parquet,4034976,807050,0
0.2,forward_fill,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_041.parquet,4034976,806259,0
0.2,forward_fill,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_042.parquet,4034976,806271,0
0.2,forward_fill,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_043.parquet,4034976,807903,0
0.2,forward_fill,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_044.parquet,4034976,806955,0
0.2,forward_fill,45,45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_045.parquet,4034976,806178,0
0.2,forward_fill,46,46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_046.parquet,4034976,806778,0
0.2,forward_fill,47,47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_047.parquet,4034976,807069,0
0.2,forward_fill,48,48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_048.parquet,4034976,805999,0
0.2,forward_fill,49,49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_049.parquet,4034976,806611,0
0.2,forward_fill,50,50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ff\node_flow_chunk_050.parquet,4034976,807368,0
