Round,Client,Local_Epoch,Train_Loss,Val_Loss
20,2,0,5688.466645576585,7031.464396731954
20,2,1,5664.457580443599,7004.611094300176
20,2,2,5640.547315140845,6977.929178587148
20,3,0,2785.2331991390306,4089.2384905133927
20,3,1,2771.6459661989797,4073.1422991071427
20,3,2,2758.1290258290815,4056.7218191964284
20,4,0,466.13790305949146,1729.0522195567255
20,4,1,450.9417155958851,1732.4730330757473
20,4,2,442.1580787800854,1741.4918584408967
21,0,0,3650.2246002268735,5339.985583696209
21,0,1,3634.87567924839,5321.45947265625
21,0,2,3619.6069450289083,5302.977523053279
21,1,0,2212.708491990546,3530.836550245098
21,1,1,2202.5865728127187,3518.698606004902
21,1,2,2192.530025193671,3506.0315276501224
21,2,0,5633.476696114185,6971.494718309859
21,2,1,5611.820766395246,6947.273286201585
21,2,2,5590.273849149585,6923.229485310299
21,3,0,2746.833027742347,4043.5982840401784
21,3,1,2734.605244539222,4029.1921735491073
21,3,2,2722.4502999441966,4014.4060407366073
21,4,0,456.51519017189923,1700.4349365234375
21,4,1,442.18057023516354,1704.3432988705842
21,4,2,434.3818238062888,1711.4095352836277
22,0,0,3610.071069507465,5292.338290855533
22,0,1,3596.24535732582,5275.628506019467
22,0,2,3582.5029697105533,5258.992851882685
22,1,0,2181.8355490633753,3492.447878370098
22,1,1,2172.726956407563,3481.6021513097426
22,1,2,2163.68989080007,3470.1408212699143
22,2,0,5584.046499701333,6917.603914502641
22,2,1,5564.512727733589,6895.737063985475
22,2,2,5545.095992949887,6874.057974801936
22,3,0,2712.3862653459823,4002.6419503348216
22,3,1,2701.3791404257017,3989.73974609375
22,3,2,2690.4480030293366,3976.389229910714
22,4,0,450.7014827372865,1674.3348388671875
22,4,1,434.96191880125434,1678.248975670856
22,4,2,426.84286063058033,1688.3436650815217
23,0,0,3573.899354599678,5249.367131467726
23,0,1,3561.4351146260246,5234.319976306352
23,0,2,3549.064405097336,5219.352435002562
23,1,0,2154.06959649094,3457.8586760876224
23,1,1,2145.8624708672533,3448.1574324065564
23,1,2,2137.740752746411,3437.7895220588234
23,2,0,5539.468811894806,6868.972092319542
23,2,1,5521.840269153987,6849.237063985475
23,2,2,5504.344251053194,6829.690209617077
23,3,0,2681.3823142538267,3965.708077566964
23,3,1,2671.4651227678573,3954.18115234375
23,3,2,2661.6330416932396,3942.108328683036
23,4,0,442.985434016826,1651.475681470788
23,4,1,428.1681169782366,1655.3771813434103
23,4,2,420.6904130070846,1664.0457286005435
24,0,0,3541.3693476013614,5210.732654008709
24,0,1,3530.1373213828306,5197.193447425717
24,0,2,3519.001839345177,5183.712250256148
24,1,0,2129.1339887517506,3426.7918581495096
24,1,1,2121.742032945991,3418.0634765625
24,1,2,2114.444268918505,3408.7015835631128
24,2,0,5499.336909150214,6825.218756877201
24,2,1,5483.439217335262,6807.393465283891
24,2,2,5467.676460127956,6789.771223041374
24,3,0,2653.5216786910078,3932.5252511160716
24,3,1,2644.5893504862884,3922.2015206473216
24,3,2,2635.748216278699,3911.2502092633927
24,4,0,437.89604727229715,1630.3656961192255
24,4,1,422.63585174750096,1633.769430409307
24,4,2,415.7366935777368,1643.634224269701
25,0,0,3512.1424386160716,5175.985399590164
25,0,1,3502.012038934426,5163.81446112961
25,0,2,3491.987715781433,5151.6442110655735
25,1,0,2106.76200460653,3398.8946126302085
25,1,1,2100.0954555650387,3390.9789656096814
25,1,2,2093.5363160889356,3382.573606004902
25,2,0,5463.250081543952,6785.850909165933
25,2,1,5448.903311470385,6769.744298800616
25,2,2,5434.701242611922,6753.862187775088
25,3,0,2628.509705835459,3902.69775390625
25,3,1,2620.455456792092,3893.4367327008927
25,3,2,2612.50450912787,3883.49755859375
25,4,0,432.66278682732434,1611.8112103006115
25,4,1,417.72689383370533,1614.6631549337635
25,4,2,412.05744014763684,1623.1700280230978
26,0,0,3485.897777691379,5144.789606813524
26,0,1,3476.7659720570477,5133.835553278688
26,0,2,3467.7448930584014,5122.8028064164955
26,1,0,2086.6972998183646,3373.8803950291053
26,1,1,2080.6896104144785,3366.6247319240197
26,1,2,2074.7925091911766,3359.1478726256128
26,2,0,5430.826309419014,6750.49248321963
26,2,1,5417.882559026031,6735.921008472711
26,2,2,5405.087637151031,6721.607958296655
26,3,0,2606.065245336416,3875.9445452008927
26,3,1,2598.8063815369896,3867.556640625
26,3,2,2591.656608737245,3858.574288504464
26,4,0,428.48511670983356,1594.9754320227582
