client_id,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,std_total_flow,peak_total_flow,is_active_region
1,287,9,17,116.411194,39.91456970750988,546,1292551.375,35974.06640625,1350871.0,True
1,286,9,16,116.393194,39.91456970750988,218,542615.375,20942.5703125,571652.125,True
1,285,9,15,116.375194,39.91456970750988,330,742898.375,25874.615234375,777459.625,True
1,284,9,14,116.357194,39.91456970750988,698,1914358.5,107014.75,2056486.5,True
1,283,9,13,116.339194,39.91456970750988,194,455620.5,12342.7890625,481267.0625,True
1,282,9,12,116.321194,39.91456970750988,86,165965.09375,6055.27587890625,175079.34375,True
1,281,9,11,116.303194,39.91456970750988,247,596182.625,76287.875,692735.875,True
1,280,9,10,116.285194,39.91456970750988,314,848268.0625,23353.3828125,889070.3125,True
1,279,9,9,116.267194,39.91456970750988,237,650465.75,70708.828125,754902.0,True
1,278,9,8,116.249194,39.91456970750988,118,348567.5625,11374.28515625,363343.75,True
1,276,9,6,116.213194,39.91456970750988,94,169124.84375,30469.345703125,229730.40625,True
1,275,9,5,116.195194,39.91456970750988,196,487301.46875,30934.140625,542317.875,True
1,305,10,5,116.195194,39.93256970750988,60,160169.953125,4364.5810546875,165535.765625,True
1,306,10,6,116.213194,39.93256970750988,23,35261.67578125,5816.92919921875,58025.40625,True
1,310,10,10,116.285194,39.93256970750988,24,58493.984375,4732.84765625,73730.2578125,True
1,311,10,11,116.303194,39.93256970750988,405,882958.25,97549.5625,1009052.75,True
1,312,10,12,116.321194,39.93256970750988,334,872995.25,53157.6953125,985731.75,True
1,313,10,13,116.339194,39.93256970750988,470,1227163.375,34317.62890625,1304055.5,True
1,314,10,14,116.357194,39.93256970750988,656,1609398.375,88383.71875,1723797.875,True
1,315,10,15,116.375194,39.93256970750988,372,775497.8125,19415.48828125,810006.625,True
1,316,10,16,116.393194,39.93256970750988,255,534936.8125,20042.685546875,564979.6875,True
1,317,10,17,116.411194,39.93256970750988,343,832215.1875,19898.587890625,873506.8125,True
1,318,10,18,116.429194,39.93256970750988,711,1857837.0,94300.0234375,1981110.125,True
1,319,10,19,116.447194,39.93256970750988,479,1027168.875,26032.728515625,1067613.25,True
1,320,10,20,116.465194,39.93256970750988,390,1063885.875,53367.54296875,1137507.625,True
1,321,10,21,116.483194,39.93256970750988,80,203399.390625,9097.052734375,216826.90625,True
1,322,10,22,116.501194,39.93256970750988,15,24603.134765625,687.4498901367188,26061.98046875,True
1,323,10,23,116.519194,39.93256970750988,95,236749.703125,17387.326171875,261425.65625,True
1,324,10,24,116.537194,39.93256970750988,37,72598.1484375,11227.0263671875,97501.4765625,True
1,327,10,27,116.591194,39.93256970750988,35,93344.0234375,1809.69580078125,96573.15625,True
1,328,10,28,116.609194,39.93256970750988,35,112709.75,2418.865966796875,117960.25,True
1,329,10,29,116.627194,39.93256970750988,36,68352.1015625,10227.7607421875,106728.3125,True
1,354,11,24,116.537194,39.95056970750988,16,34851.859375,4270.33154296875,48821.58984375,True
