missing_rate,method,flow_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.1,mean_fill,high_flow,7466465,7466465,0,17170119.0,7466465.0,0.0,1048086056.0,500926472192.0,281936.86572265625,7466465,292200.1015625,7466465,2896.583984375,10434.712890625,140.37245952401838,259.0177191724088,0.03776042152781219,0.03913499916794628,0.03436100952819373,2.2996316195147233,1.0,0.0,140.37245952401838,259.0177191724088,0.03776042152781219,0.03913499916794628,0.03436100952819373
0.1,mean_fill,low_flow,7263234,7263234,0,12719279.0,7263234.0,0.0,689797640.0,357113445888.0,1379797.953125,7141661,757971.0546875,7234340,0.0,1487.3021240234375,94.97114370816085,221.73695697124722,0.19320406739062523,0.10477404361524341,0.149086694216106,1.7511867303187534,1.0,0.0,94.97114370816085,221.73695697124722,0.19320406739062523,0.10477404361524341,0.149086694216106
0.1,mean_fill,mid_flow,7056478,7056478,0,13669871.0,7056478.0,0.0,1029330590.0,470401314816.0,468741.85595703125,7056478,459858.966796875,7056478,1487.30224609375,2896.583740234375,145.87030385413232,258.1905053427846,0.06642716890168597,0.0651683413165711,0.18320719204521185,1.9372087605176407,1.0,0.0,145.87030385413232,258.1905053427846,0.06642716890168597,0.0651683413165711,0.18320719204521185
0.1,road_topology_neighbor_fill,high_flow,7466465,7466465,0,17170119.0,7466465.0,0.0,4844582280.0,7609720315904.0,1271332.546875,7466465,1266291.140625,7466465,2896.583984375,10434.712890625,648.8455085505658,1009.5476700063875,0.17027235068737348,0.1695971441137138,0.1339254982983049,2.2996316195147233,1.0,0.0,648.8455085505658,1009.5476700063875,0.17027235068737348,0.1695971441137138,0.1339254982983049
0.1,road_topology_neighbor_fill,low_flow,7263234,7263234,0,12719279.0,7263234.0,0.0,2584389376.0,4227758931968.0,2584223.41796875,7141661,1447610.259765625,7199425,0.0,1487.3021240234375,355.81799732736135,762.9394814477955,0.36185187423048365,0.20107303843926772,0.5129687298394343,1.7511867303187534,1.0,0.0,355.81799732736135,762.9394814477955,0.36185187423048365,0.20107303843926772,0.5129687298394343
0.1,road_topology_neighbor_fill,mid_flow,7056478,7056478,0,13669871.0,7056478.0,0.0,3058736676.0,4324134412288.0,1420158.076171875,7056478,1168484.724609375,7056478,1487.30224609375,2896.583740234375,433.46506231578985,782.8086152362114,0.20125593478387874,0.1655903589027522,0.5554664688998597,1.9372087605176407,1.0,0.0,433.46506231578985,782.8086152362114,0.20125593478387874,0.1655903589027522,0.5554664688998597
0.2,correlation_topology_neighbor_fill,high_flow,14759275,10911594,26162,23251108.0,10911594.0,0.0,553328467.0,142129481344.0,145808.98608398438,10911594,147596.24462890625,10911594,2896.583984375,10472.572265625,50.71014069988308,114.12951887259317,0.013362757639624823,0.013526552090272627,0.015064637725886551,2.130862640233865,1.0,0.0,50.71014069988308,114.12951887259317,0.013362757639624823,0.013526552090272627,0.015064637725886551
0.2,correlation_topology_neighbor_fill,low_flow,14646044,12078554,39278,20569731.0,12078554.0,0.0,337016694.0,83466032384.0,597951.9873046875,11871403,684959.8193359375,12048883,0.0,1487.3021240234375,27.902072880578256,83.12801537128799,0.05036910863060478,0.0568484082164245,0.055891815138682625,1.702996153347495,1.0,0.0,27.902072880578256,83.12801537128799,0.05036910863060478,0.0568484082164245,0.055891815138682625
0.2,correlation_topology_neighbor_fill,mid_flow,14172423,11268849,28060,20882436.0,11268849.0,0.0,479351023.5,114891095680.0,217323.291015625,11268849,217976.7138671875,11268849,1487.30224609375,2896.583740234375,42.53770935257008,100.97256897478664,0.019285313967347065,0.01934329884686426,0.07164826146841541,1.8531117064395841,1.0,0.0,42.53770935257008,100.97256897478664,0.019285313967347065,0.01934329884686426,0.07164826146841541
0.2,forward_fill,high_flow,14759275,14759275,0,31621097.0,14759275.0,0.0,2686566084.0,2236148123648.0,722007.166015625,14759275,791074.193359375,14759275,2896.583984375,10472.572265625,182.02561331772733,389.2402758454913,0.048918877520449,0.05359844527318415,0.05137815178632623,2.142455981069531,1.0,0.0,182.02561331772733,389.2402758454913,0.048918877520449,0.05359844527318415,0.05137815178632623
