missing_rate,method,length_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.1,correlation_topology_neighbor_fill,short,3489589,3114563,0,6479821.0,3114563.0,0.0,129460627.75,32341202752.0,90097.57336425781,3095919,95857.06579589844,3111988,0.0,10352.4619140625,41.56622542231446,101.90125283538872,0.02910204477709456,0.030802517810447353,0.009843190313694258,2.08049122782233,1.0,0.0,41.56622542231446,101.90125283538872,0.02910204477709456,0.030802517810447353,0.009843190313694258
0.1,forward_fill,long,8218278,8218278,0,16032583.0,8218278.0,0.0,1602158580.0,1291799489536.0,1061408.75,8173597,827525.4130859375,8192961,0.0,10404.99609375,194.9506429449089,396.46708734645415,0.12985821909252437,0.10100443698998902,0.03810353062838738,1.9508445686553801,1.0,0.0,194.9506429449089,396.46708734645415,0.12985821909252437,0.10100443698998902,0.03810353062838738
0.1,forward_fill,mid,10078310,10078310,0,20323480.0,10078310.0,0.0,1638545294.0,1116995958784.0,1171555.1298828125,10021796,861901.794921875,10045187,0.0,10434.712890625,162.58135481047913,332.9139123659009,0.11690071618727946,0.08580246389856903,0.0319044630988367,2.0165563472447268,1.0,0.0,162.58135481047913,332.9139123659009,0.11690071618727946,0.08580246389856903,0.0319044630988367
0.1,forward_fill,short,3489589,3489589,0,7203206.0,3489589.0,0.0,419530694.0,217452787456.0,296754.7919921875,3469211,227710.966796875,3475577,0.0,10352.4619140625,120.2235260370204,249.62917988975295,0.08553956273982398,0.0655174570429241,0.02411302567079851,2.064198964405264,1.0,0.0,120.2235260370204,249.62917988975295,0.08553956273982398,0.0655174570429241,0.02411302567079851
0.1,function_curve_fit,long,8218278,8218278,0,16032583.0,8218278.0,0.0,1118963822.0,561326058496.0,834981.9794921875,8173597,618505.447265625,8218262,0.0,10404.99609375,136.1555087330947,261.34680066688617,0.10215600053344782,0.07525988429982215,0.025117433808924745,1.9508445686553801,1.0,0.0,136.1555087330947,261.34680066688617,0.10215600053344782,0.07525988429982215,0.025117433808924745
0.1,function_curve_fit,mid,10078310,10078310,0,20323480.0,10078310.0,0.0,1360360730.0,669934198784.0,1100090.21875,10021796,759656.3837890625,10078310,0.0,10434.712890625,134.97905204344775,257.8233325883329,0.10976976768934431,0.07537537382647115,0.02470823445654864,2.0165563472447268,1.0,0.0,134.97905204344775,257.8233325883329,0.10976976768934431,0.07537537382647115,0.02470823445654864
0.1,function_curve_fit,short,3489589,3489589,0,7203206.0,3489589.0,0.0,468497854.0,227019279616.0,381992.7236328125,3469211,264024.68701171875,3489589,0.0,10352.4619140625,134.25588342925198,255.06110156214604,0.11010939479691852,0.07566068296630886,0.024637724212795996,2.064198964405264,1.0,0.0,134.25588342925198,255.06110156214604,0.11010939479691852,0.07566068296630886,0.024637724212795996
0.1,historical_linear_extrapolation,long,8218278,8218278,0,16032583.0,8218278.0,0.0,1170848194.0,633631299584.0,838573.77734375,8173597,628880.966796875,8207701,0.0,10404.99609375,142.46879869481174,277.6693201716392,0.10259543960189743,0.07662084264483746,0.02668615323540848,1.9508445686553801,1.0,0.0,142.46879869481174,277.6693201716392,0.10259543960189743,0.07662084264483746,0.02668615323540848
0.1,historical_linear_extrapolation,mid,10078310,10078310,0,20323480.0,10078310.0,0.0,1425822148.0,756288293888.0,1085350.685546875,10021796,772914.9326171875,10064982,0.0,10434.712890625,141.47432932703995,273.9364559407762,0.10829902001067224,0.07679248036580567,0.026252419095008608,2.0165563472447268,1.0,0.0,141.47432932703995,273.9364559407762,0.10829902001067224,0.07679248036580567,0.026252419095008608
0.1,historical_linear_extrapolation,short,3489589,3489589,0,7203206.0,3489589.0,0.0,490594037.0,256131880960.0,381892.42822265625,3469211,267910.83544921875,3484542,0.0,10352.4619140625,140.58791364828352,270.92225377692813,0.11008048464698637,0.07688552339137217,0.026169838249674195,2.064198964405264,1.0,0.0,140.58791364828352,270.92225377692813,0.11008048464698637,0.07688552339137217,0.026169838249674195
0.1,mean_fill,long,8218278,8218278,0,16032583.0,8218278.0,0.0,1048276148.0,510514360832.0,766312.283203125,8173597,568069.7734375,8207715,0.0,10404.99609375,127.55423313740421,249.23760402787198,0.09375459582887742,0.06921168357301637,0.02395364705399383,1.9508445686553801,1.0,0.0,127.55423313740421,249.23760402787198,0.09375459582887742,0.06921168357301637,0.02395364705399383
0.1,mean_fill,mid,10078310,10078310,0,20323480.0,10078310.0,0.0,1278196088.0,610541165568.0,989090.568359375,10021796,699046.37890625,10065016,0.0,10434.712890625,126.82643101869262,246.12947160911395,0.09869394351664862,0.0694530817344205,0.023587565291829676,2.0165563472447268,1.0,0.0,126.82643101869262,246.12947160911395,0.09869394351664862,0.0694530817344205,0.023587565291829676
0.1,mean_fill,short,3489589,3489589,0,7203206.0,3489589.0,0.0,440742058.0,207385718784.0,375073.8271484375,3469211,242913.98266601562,3484552,0.0,10352.4619140625,126.30199659616075,243.7823636283206,0.10811502302639923,0.06971168249634835,0.023548250228013237,2.064198964405264,1.0,0.0,126.30199659616075,243.7823636283206,0.10811502302639923,0.06971168249634835,0.023548250228013237
0.1,road_topology_neighbor_fill,long,8218278,8218278,0,16032583.0,8218278.0,0.0,3963817560.0,6139006394368.0,1995112.5859375,8173597,1463353.30859375,8194697,0.0,10404.99609375,482.317288366249,864.288289859468,0.24409236055282638,0.1785732051586227,0.08306473948400833,1.9508445686553801,1.0,0.0,482.317288366249,864.288289859468,0.24409236055282638,0.1785732051586227,0.08306473948400833
0.1,road_topology_neighbor_fill,mid,10078310,10078310,0,20323480.0,10078310.0,0.0,4851007016.0,7463579320320.0,2446423.82421875,10021796,1798009.78515625,10048827,0.0,10434.712890625,481.3313954422914,860.5571552769579,0.24411031956934165,0.17892733004123268,0.08247061172618558,2.0165563472447268,1.0,0.0,481.3313954422914,860.5571552769579,0.24411031956934165,0.17892733004123268,0.08247061172618558
0.1,road_topology_neighbor_fill,short,3489589,3489589,0,7203206.0,3489589.0,0.0,1672883682.0,2559028195328.0,834177.6787109375,3469211,621023.0361328125,3478844,0.0,10352.4619140625,479.3927542756468,856.3482131384901,0.24045169887647003,0.17851419498339463,0.08271928167881015,2.064198964405264,1.0,0.0,479.3927542756468,856.3482131384901,0.24045169887647003,0.17851419498339463,0.08271928167881015
0.2,correlation_topology_neighbor_fill,long,13980590,10975856,30318,19763943.0,10975856.0,0.0,434776723.0,107911952896.0,302102.42822265625,10911412,332302.578125,10967067,0.0,10472.572265625,39.6121015982717,99.15521846875342,0.027686831752174353,0.030300040851852186,0.009468086345340283,1.8006744075359589,1.0,0.0,39.6121015982717,99.15521846875342,0.027686831752174353,0.030300040851852186,0.009468086345340283
0.2,correlation_topology_neighbor_fill,mid,21064129,16555886,45220,31463660.0,16555886.0,0.0,662063162.0,164761760000.0,450055.55224609375,16455037,508062.1357421875,16540997,0.0,10444.87890625,39.98959415400662,99.75897945105413,0.027350625358429383,0.030715327240684917,0.00955099435297047,1.9004515976976406,1.0,0.0,39.98959415400662,99.75897945105413,0.027350625358429383,0.030715327240684917,0.00955099435297047
0.2,correlation_topology_neighbor_fill,short,8533023,6727255,17962,13475672.0,6727255.0,0.0,272856297.0,67812897472.0,208926.28784179688,6685397,210168.05346679688,6721262,0.0,10328.0595703125,40.55982670494875,100.40080743287471,0.031251141531579485,0.031269135687136865,0.009721168506954772,2.0031457109920763,1.0,0.0,40.55982670494875,100.40080743287471,0.031251141531579485,0.031269135687136865,0.009721168506954772
0.2,forward_fill,long,13980590,13980590,0,25268400.0,13980590.0,0.0,2718901000.0,2193377439744.0,1837522.248046875,13904037,1410163.619140625,13938034,0.0,10472.572265625,194.47684253668837,396.09005314657696,0.13215746247272464,0.10117378241010354,0.037821658624089566,1.8073915335475828,1.0,0.0,194.47684253668837,396.09005314657696,0.13215746247272464,0.10117378241010354,0.037821658624089566
0.2,forward_fill,mid,21064129,21064129,0,39712665.0,21064129.0,0.0,3421734504.0,2333609922560.0,2407618.94921875,20943523,1813935.603515625,20993500,0.0,10444.87890625,162.44367398243716,332.8452614321398,0.11495768640351244,0.08640463017198775,0.03186683775079212,1.8853219613305634,1.0,0.0,162.44367398243716,332.8452614321398,0.11495768640351244,0.08640463017198775,0.03186683775079212
0.2,forward_fill,short,8533023,8533023,0,16790596.0,8533023.0,0.0,1038417732.0,548609135104.0,765575.498046875,8482878,567998.7626953125,8498974,0.0,10427.5966796875,121.69400363739791,253.5596007970382,0.09024949999833488,0.06683145079574458,0.024316207136296435,1.9677195291750649,1.0,0.0,121.69400363739791,253.5596007970382,0.09024949999833488,0.06683145079574458,0.024316207136296435
0.2,function_curve_fit,long,13980590,13980590,0,25268400.0,13980590.0,0.0,1898663138.0,948210340864.0,1516767.353515625,13904037,1055285.982421875,13980590,0.0,10472.572265625,135.80708239065734,260.4291502141471,0.10908827080333755,0.0754822208806549,0.0248677348418951,1.8073915335475828,1.0,0.0,135.80708239065734,260.4291502141471,0.10908827080333755,0.0754822208806549,0.0248677348418951
0.2,function_curve_fit,mid,21064129,21064129,0,39712665.0,21064129.0,0.0,2833114660.0,1388310265856.0,2389714.56640625,20943523,1597136.5625,21064104,0.0,10444.87890625,134.4994924784215,256.7269815408761,0.11410279762417479,0.07582266791409689,0.024579220481652113,1.8853219613305634,1.0,0.0,134.4994924784215,256.7269815408761,0.11410279762417479,0.07582266791409689,0.024579220481652113
0.2,function_curve_fit,short,8533023,8533023,0,16790596.0,8533023.0,0.0,1146575078.0,555600422912.0,953513.8056640625,8482878,649743.2470703125,8533010,0.0,10427.5966796875,134.3691535813275,255.17012460859527,0.1124045171537375,0.0761446719352623,0.024470655362577982,1.9677195291750649,1.0,0.0,134.3691535813275,255.17012460859527,0.1124045171537375,0.0761446719352623,0.024470655362577982
0.2,historical_linear_extrapolation,long,13980590,13980590,0,25268400.0,13980590.0,0.0,1987943328.0,1073042634752.0,1538209.92578125,13904037,1073541.234375,13962397,0.0,10472.572265625,142.19309256619357,277.0420799868754,0.11063045400276553,0.07688803250437586,0.02645406237932908,1.8073915335475828,1.0,0.0,142.19309256619357,277.0420799868754,0.11063045400276553,0.07688803250437586,0.02645406237932908
0.2,historical_linear_extrapolation,mid,21064129,21064129,0,39712665.0,21064129.0,0.0,2972671884.0,1575172833280.0,2361828.8125,20943523,1625309.138671875,21035839,0.0,10444.87890625,141.12484233266898,273.45908329623467,0.11277132374051872,0.07726381337449269,0.026181163587507213,1.8853219613305634,1.0,0.0,141.12484233266898,273.45908329623467,0.11277132374051872,0.07726381337449269,0.026181163587507213
0.2,historical_linear_extrapolation,short,8533023,8533023,0,16790596.0,8533023.0,0.0,1201643674.0,627970112512.0,947139.1240234375,8482878,660302.234375,8520778,0.0,10427.5966796875,140.82273937384207,271.2801576371983,0.11165304086931788,0.07749318599487043,0.026015597454554423,1.9677195291750649,1.0,0.0,140.82273937384207,271.2801576371983,0.11165304086931788,0.07749318599487043,0.026015597454554423
