missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,neighbor_coverage_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,function_curve_fit,8,8,length_group,overall,mid,overall,False,91075,91075,0,190125.0,91075.0,0.0,129.42408752441406,238.1593780517578,1.492638349533081,0.07558039575815201,0.02324496518762567,11787299.0,5165764096.0,134998.6875,90443,6883.484375,91075,0.0,10245.6328125,129.42408752441406,238.1593780517578,1.492638349533081,0.07558039575815201,0.02324496518762567
0.05,function_curve_fit,8,8,length_group,overall,short,overall,False,29596,29596,0,62314.0,29596.0,0.0,137.00462341308594,257.49627685546875,0.08930782228708267,0.07826416194438934,0.02884969978612969,4054788.75,1962342912.0,2626.63232421875,29411,2316.30615234375,29596,0.0,8925.4404296875,137.00462341308594,257.49627685546875,0.08930782228708267,0.07826416194438934,0.02884969978612969
0.05,function_curve_fit,8,8,overall,overall,overall,overall,False,201863,201863,0,418821.0,201863.0,0.0,132.16038513183594,243.06619262695312,0.7188612818717957,0.0764988362789154,0.023723882855767053,26678292.0,11926302720.0,144133.84375,200503,15442.28515625,201863,0.0,10245.6328125,132.16038513183594,243.06619262695312,0.7188612818717957,0.0764988362789154,0.023723882855767053
0.05,function_curve_fit,9,9,flow_group,high_flow,overall,overall,False,68668,68668,0,164886.0,68668.0,0.0,169.77471923828125,312.28680419921875,0.045200347900390625,0.047647587954998016,0.041740469382663174,11658090.0,6696712192.0,3103.8173828125,68668,3271.864501953125,68668,2896.59033203125,10378.2216796875,169.77471923828125,312.28680419921875,0.045200347900390625,0.047647587954998016,0.041740469382663174
0.05,function_curve_fit,9,9,flow_group,low_flow,overall,overall,False,67035,67035,0,120831.0,67035.0,0.0,102.39215850830078,234.80160522460938,0.16416305303573608,0.12211059778928757,0.15787115643010113,6863858.5,3695759616.0,10804.0634765625,65813,8185.68408203125,67035,0.0,1487.2989501953125,102.39215850830078,234.80160522460938,0.16416305303573608,0.12211059778928757,0.15787115643010113
0.05,function_curve_fit,9,9,flow_group,mid_flow,overall,overall,False,65896,65896,0,131746.0,65896.0,0.0,157.97657775878906,273.45269775390625,0.07172127813100815,0.07177160680294037,0.19403764970060527,10410025.0,4927463936.0,4726.1455078125,65896,4729.4619140625,65896,1487.3023681640625,2896.578857421875,157.97657775878906,273.45269775390625,0.07172127813100815,0.07177160680294037,0.19403764970060527
0.05,function_curve_fit,9,9,length_group,overall,long,overall,False,79436,79436,0,162627.0,79436.0,0.0,146.20651245117188,282.0205078125,0.09424193948507309,0.08026809990406036,0.03133660824937251,11614060.0,6317987840.0,7440.68359375,78953,6376.1767578125,79436,0.0,8999.7138671875,146.20651245117188,282.0205078125,0.09424193948507309,0.08026809990406036,0.03133660824937251
0.05,function_curve_fit,9,9,length_group,overall,mid,overall,False,92015,92015,0,191051.0,92015.0,0.0,140.30764770507812,269.06146240234375,0.09071239829063416,0.07899026572704315,0.030369195418237196,12910408.0,6661340160.0,8299.3681640625,91491,7268.2890625,92015,0.0,8859.68359375,140.30764770507812,269.06146240234375,0.09071239829063416,0.07899026572704315,0.030369195418237196
0.05,function_curve_fit,9,9,length_group,overall,short,overall,False,30148,30148,0,63785.0,30148.0,0.0,146.1956024169922,278.6346130371094,0.09668169170618057,0.08433546125888824,0.026848011310305658,4407505.0,2340607744.0,2893.97314453125,29933,2542.54541015625,30148,0.0,10378.2216796875,146.1956024169922,278.6346130371094,0.09668169170618057,0.08433546125888824,0.026848011310305658
0.05,function_curve_fit,9,9,overall,overall,overall,overall,False,201599,201599,0,417463.0,201599.0,0.0,143.51248168945312,275.66668701171875,0.09299483895301819,0.08029309660196304,0.026562034953566283,28931974.0,15319936000.0,18634.02734375,200377,16187.0078125,201599,0.0,10378.2216796875,143.51248168945312,275.66668701171875,0.09299483895301819,0.08029309660196304,0.026562034953566283
