seed,method,lambda_value,client_id,mse,rmse,mae,mape
3407,Data-loss weighted,0.5,1,22.922321319580078,4.787726111587847,3.504162311553955,5.42529933154583
3407,Data-loss weighted,0.5,2,94.14421844482422,9.702794362699038,7.2422261238098145,7.837571948766708
3407,Data-loss weighted,0.5,3,23.49839210510254,4.8475140128835665,3.4826724529266357,5.272415280342102
3407,Data-loss weighted,0.5,4,140.21066284179688,11.841058349733645,8.097061157226562,226.44193172454834
3407,Data-loss weighted,0.75,0,6.443881034851074,2.5384800639065643,2.102801561355591,2.6109764352440834
3407,Data-loss weighted,0.75,1,22.69206428527832,4.763618822416244,3.4769349098205566,5.383777618408203
3407,Data-loss weighted,0.75,2,93.29749298095703,9.659062738224502,7.18716287612915,7.766999304294586
3407,Data-loss weighted,0.75,3,22.880247116088867,4.78333012827767,3.4445011615753174,5.21891675889492
3407,Data-loss weighted,0.75,4,143.15963745117188,11.964933658452598,8.20895004272461,231.84397220611572
3407,Data-loss weighted,1.0,0,6.167590141296387,2.483463336008081,2.055431842803955,2.5529244914650917
3407,Data-loss weighted,1.0,1,22.580371856689453,4.751880875683802,3.4787845611572266,5.4014623165130615
3407,Data-loss weighted,1.0,2,93.74530029296875,9.682215670649397,7.251243591308594,7.849451154470444
3407,Data-loss weighted,1.0,3,21.725454330444336,4.661057211668221,3.359539747238159,5.117953196167946
3407,Data-loss weighted,1.0,4,142.24778747558594,11.926767687667349,8.277422904968262,230.72946071624756
1234,Data-loss weighted,0.0,0,7.461128234863281,2.7315065870071193,2.179084300994873,2.863890863955021
1234,Data-loss weighted,0.0,1,18.224679946899414,4.269037355997183,3.173769474029541,4.902013763785362
1234,Data-loss weighted,0.0,2,85.63941955566406,9.254156879784569,7.864506244659424,8.658219873905182
1234,Data-loss weighted,0.0,3,21.400651931762695,4.626083865621406,3.5777225494384766,5.1415011286735535
1234,Data-loss weighted,0.0,4,330.18194580078125,18.170909327845465,14.300941467285156,359.08915996551514
1234,Data-loss weighted,0.25,0,8.316731452941895,2.883874382309655,2.291745662689209,3.0206020921468735
1234,Data-loss weighted,0.25,1,18.443513870239258,4.29459123435971,3.193861246109009,4.959089308977127
1234,Data-loss weighted,0.25,2,85.43232727050781,9.242960957967302,7.86745023727417,8.671493828296661
1234,Data-loss weighted,0.25,3,22.171131134033203,4.708623061366582,3.628791093826294,5.218903347849846
1234,Data-loss weighted,0.25,4,320.1429138183594,17.89253793675898,14.38704776763916,381.4382791519165
1234,Data-loss weighted,0.5,0,7.7345871925354,2.781112581780069,2.2186903953552246,2.9178444296121597
1234,Data-loss weighted,0.5,1,18.293485641479492,4.27708845378249,3.1829140186309814,4.91948164999485
1234,Data-loss weighted,0.5,2,84.15409088134766,9.173553885019025,7.751809597015381,8.536598831415176
