scenario,missing_rate,metric,rank,method,value
node_temporal_block,0.3,SMAPE,3,historical_linear_extrapolation,0.0939655870384374
node_temporal_block,0.3,SMAPE,4,topology_function_hybrid,0.1331082478987166
node_temporal_block,0.3,SMAPE,5,road_topology_neighbor_fill,0.2004491944373881
node_temporal_block,0.3,SMAPE,6,zero_fill,2.0
node_temporal_block,0.3,NRMSE,1,function_curve_fit,0.0251239384813072
node_temporal_block,0.3,NRMSE,2,forward_fill,0.0328798329260083
node_temporal_block,0.3,NRMSE,3,historical_linear_extrapolation,0.0334916185737174
node_temporal_block,0.3,NRMSE,4,topology_function_hybrid,0.042997134199467
node_temporal_block,0.3,NRMSE,5,road_topology_neighbor_fill,0.0753988634005984
node_temporal_block,0.3,NRMSE,6,zero_fill,0.2604011078811711
node_subset_temporal_outage,0.05,RMSE,1,forward_fill,233.5330122880532
node_subset_temporal_outage,0.05,RMSE,2,function_curve_fit,256.8543765303125
node_subset_temporal_outage,0.05,RMSE,3,historical_linear_extrapolation,316.6988860854788
node_subset_temporal_outage,0.05,RMSE,4,topology_function_hybrid,476.7563906310462
node_subset_temporal_outage,0.05,RMSE,5,road_topology_neighbor_fill,854.5849743686517
node_subset_temporal_outage,0.05,RMSE,6,zero_fill,2719.60419134573
node_subset_temporal_outage,0.05,MAE,1,forward_fill,107.36832629872276
node_subset_temporal_outage,0.05,MAE,2,function_curve_fit,135.12384732985862
node_subset_temporal_outage,0.05,MAE,3,historical_linear_extrapolation,163.5958441826414
node_subset_temporal_outage,0.05,MAE,4,topology_function_hybrid,303.0673123381783
node_subset_temporal_outage,0.05,MAE,5,road_topology_neighbor_fill,523.0318092166616
node_subset_temporal_outage,0.05,MAE,6,zero_fill,2440.6672717312927
node_subset_temporal_outage,0.05,SMAPE,1,forward_fill,0.0586471894940284
node_subset_temporal_outage,0.05,SMAPE,2,function_curve_fit,0.0753127554821144
node_subset_temporal_outage,0.05,SMAPE,3,historical_linear_extrapolation,0.0868840620629038
node_subset_temporal_outage,0.05,SMAPE,4,topology_function_hybrid,0.1373017848381635
node_subset_temporal_outage,0.05,SMAPE,5,road_topology_neighbor_fill,0.2073341938073426
node_subset_temporal_outage,0.05,SMAPE,6,zero_fill,2.0
node_subset_temporal_outage,0.05,NRMSE,1,forward_fill,0.0222994892147555
node_subset_temporal_outage,0.05,NRMSE,2,function_curve_fit,0.0245263885524483
node_subset_temporal_outage,0.05,NRMSE,3,historical_linear_extrapolation,0.0302407926202625
node_subset_temporal_outage,0.05,NRMSE,4,topology_function_hybrid,0.0455242874948634
node_subset_temporal_outage,0.05,NRMSE,5,road_topology_neighbor_fill,0.0816022036127387
node_subset_temporal_outage,0.05,NRMSE,6,zero_fill,0.2596882716457842
node_subset_temporal_outage,0.1,RMSE,1,forward_fill,213.2001790260041
node_subset_temporal_outage,0.1,RMSE,2,function_curve_fit,258.068879851018
node_subset_temporal_outage,0.1,RMSE,3,historical_linear_extrapolation,320.6447767109664
node_subset_temporal_outage,0.1,RMSE,4,topology_function_hybrid,470.14705240065774
node_subset_temporal_outage,0.1,RMSE,5,road_topology_neighbor_fill,838.8382532454564
node_subset_temporal_outage,0.1,RMSE,6,zero_fill,2718.437027575492
node_subset_temporal_outage,0.1,MAE,1,forward_fill,99.13692834229448
node_subset_temporal_outage,0.1,MAE,2,function_curve_fit,135.56483353695526
node_subset_temporal_outage,0.1,MAE,3,historical_linear_extrapolation,165.43599513290135
node_subset_temporal_outage,0.1,MAE,4,topology_function_hybrid,299.5173828591052
node_subset_temporal_outage,0.1,MAE,5,road_topology_neighbor_fill,515.5063973267032
node_subset_temporal_outage,0.1,MAE,6,zero_fill,2439.540107552214
node_subset_temporal_outage,0.1,SMAPE,1,forward_fill,0.0547081466111856
node_subset_temporal_outage,0.1,SMAPE,2,function_curve_fit,0.0756644158333909
node_subset_temporal_outage,0.1,SMAPE,3,historical_linear_extrapolation,0.0880865546294764
node_subset_temporal_outage,0.1,SMAPE,4,topology_function_hybrid,0.136389532821954
node_subset_temporal_outage,0.1,SMAPE,5,road_topology_neighbor_fill,0.2057291097446824
node_subset_temporal_outage,0.1,SMAPE,6,zero_fill,2.0
node_subset_temporal_outage,0.1,NRMSE,1,forward_fill,0.0203650292879723
node_subset_temporal_outage,0.1,NRMSE,2,function_curve_fit,0.0246509187773204
node_subset_temporal_outage,0.1,NRMSE,3,historical_linear_extrapolation,0.0306282119395299
node_subset_temporal_outage,0.1,NRMSE,4,topology_function_hybrid,0.044908773226806
node_subset_temporal_outage,0.1,NRMSE,5,road_topology_neighbor_fill,0.080126412994858
node_subset_temporal_outage,0.1,NRMSE,6,zero_fill,0.2596669943571245
node_subset_temporal_outage,0.2,RMSE,1,forward_fill,210.9688641596816
node_subset_temporal_outage,0.2,RMSE,2,function_curve_fit,257.7483766362174
node_subset_temporal_outage,0.2,RMSE,3,historical_linear_extrapolation,327.6015076018783
node_subset_temporal_outage,0.2,RMSE,4,topology_function_hybrid,458.0189393477627
node_subset_temporal_outage,0.2,RMSE,5,road_topology_neighbor_fill,811.5050240413524
node_subset_temporal_outage,0.2,RMSE,6,zero_fill,2718.861549184405
node_subset_temporal_outage,0.2,MAE,1,forward_fill,99.5463675586834
node_subset_temporal_outage,0.2,MAE,2,function_curve_fit,135.56420920882903
node_subset_temporal_outage,0.2,MAE,3,historical_linear_extrapolation,168.83112480576943
node_subset_temporal_outage,0.2,MAE,4,topology_function_hybrid,293.06273488099697
node_subset_temporal_outage,0.2,MAE,5,road_topology_neighbor_fill,502.6822066105973
node_subset_temporal_outage,0.2,MAE,6,zero_fill,2439.8961540800524
node_subset_temporal_outage,0.2,SMAPE,1,forward_fill,0.0549795937396965
node_subset_temporal_outage,0.2,SMAPE,2,function_curve_fit,0.0756257800172332
node_subset_temporal_outage,0.2,SMAPE,3,historical_linear_extrapolation,0.0900567427829099
node_subset_temporal_outage,0.2,SMAPE,4,topology_function_hybrid,0.1343755636372801
node_subset_temporal_outage,0.2,SMAPE,5,road_topology_neighbor_fill,0.2026660261796383
node_subset_temporal_outage,0.2,SMAPE,6,zero_fill,2.0
node_subset_temporal_outage,0.2,NRMSE,1,forward_fill,0.0201349302898611
node_subset_temporal_outage,0.2,NRMSE,2,function_curve_fit,0.0245995806848872
node_subset_temporal_outage,0.2,NRMSE,3,historical_linear_extrapolation,0.0312663839978991
node_subset_temporal_outage,0.2,NRMSE,4,topology_function_hybrid,0.0437134619458494
node_subset_temporal_outage,0.2,NRMSE,5,road_topology_neighbor_fill,0.0774502775754497
node_subset_temporal_outage,0.2,NRMSE,6,zero_fill,0.2594889439191187
node_subset_temporal_outage,0.3,RMSE,1,forward_fill,220.11933097390948
node_subset_temporal_outage,0.3,RMSE,2,function_curve_fit,258.0487401388489
node_subset_temporal_outage,0.3,RMSE,3,historical_linear_extrapolation,341.0385513697926
node_subset_temporal_outage,0.3,RMSE,4,topology_function_hybrid,448.4873016215915
node_subset_temporal_outage,0.3,RMSE,5,road_topology_neighbor_fill,789.4700926615225
node_subset_temporal_outage,0.3,RMSE,6,zero_fill,2719.016040855775
node_subset_temporal_outage,0.3,MAE,1,forward_fill,104.05289787654112
node_subset_temporal_outage,0.3,MAE,2,function_curve_fit,135.78301130081653
node_subset_temporal_outage,0.3,MAE,3,historical_linear_extrapolation,174.45187160212433
node_subset_temporal_outage,0.3,MAE,4,topology_function_hybrid,288.4300777122364
node_subset_temporal_outage,0.3,MAE,5,road_topology_neighbor_fill,493.39601126630384
node_subset_temporal_outage,0.3,MAE,6,zero_fill,2439.9189339160835
node_subset_temporal_outage,0.3,SMAPE,1,forward_fill,0.0572593908117709
node_subset_temporal_outage,0.3,SMAPE,2,function_curve_fit,0.0756969829433475
node_subset_temporal_outage,0.3,SMAPE,3,historical_linear_extrapolation,0.0930043816093049
node_subset_temporal_outage,0.3,SMAPE,4,topology_function_hybrid,0.1331258851811871
node_subset_temporal_outage,0.3,SMAPE,5,road_topology_neighbor_fill,0.2006641992493371
node_subset_temporal_outage,0.3,SMAPE,6,zero_fill,2.0
node_subset_temporal_outage,0.3,NRMSE,1,forward_fill,0.0210322139574238
node_subset_temporal_outage,0.3,NRMSE,2,function_curve_fit,0.0246563365881174
node_subset_temporal_outage,0.3,NRMSE,3,historical_linear_extrapolation,0.0325859421269526
node_subset_temporal_outage,0.3,NRMSE,4,topology_function_hybrid,0.042852578386271
node_subset_temporal_outage,0.3,NRMSE,5,road_topology_neighbor_fill,0.0754331926613589
node_subset_temporal_outage,0.3,NRMSE,6,zero_fill,0.2597996589937139
