missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_030.parquet,805902,0,True,True,completed,recomputed,1.2659535000000233,58094583,2026-06-16T08:56:24.529987334+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_031.parquet,807774,0,True,True,completed,recomputed,1.363427399999864,58104890,2026-06-16T08:56:41.084151030+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_032.parquet,807092,0,True,True,completed,recomputed,1.1028367999999773,58135263,2026-06-16T08:56:57.011386156+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_033.parquet,806956,0,True,True,completed,recomputed,1.1103257999998277,58139700,2026-06-16T08:57:13.069895983+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_034.parquet,807036,0,True,True,completed,recomputed,1.1403589999999895,58168408,2026-06-16T08:57:27.627922535+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_035.parquet,806365,0,True,True,completed,recomputed,1.3205113999999867,58170616,2026-06-16T08:57:42.587105751+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_036.parquet,807122,0,True,True,completed,recomputed,1.2326155000000654,58161431,2026-06-16T08:57:57.575931311+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_037.parquet,806091,0,True,True,completed,recomputed,1.2103457999999137,58575196,2026-06-16T08:58:12.501878022+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_038.parquet,806677,0,True,True,completed,recomputed,1.3756226999998944,58156312,2026-06-16T08:58:27.638918400+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_039.parquet,805545,0,True,True,completed,recomputed,1.1862565000001268,58173635,2026-06-16T08:58:42.348292112+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_040.parquet,806425,0,True,True,completed,recomputed,1.198623100000077,58157551,2026-06-16T08:58:57.712679386+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_041.parquet,808180,0,True,True,completed,recomputed,1.1098049000001993,58159768,2026-06-16T08:59:12.315048695+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_042.parquet,807549,0,True,True,completed,recomputed,1.1895979999999327,58153987,2026-06-16T08:59:27.107360840+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_043.parquet,806868,0,True,True,completed,recomputed,1.0254893000001175,58121234,2026-06-16T08:59:41.578473330+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_044.parquet,806213,0,True,True,completed,recomputed,1.1514627000001383,58114001,2026-06-16T08:59:56.241670609+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,45,45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_045.parquet,806974,0,True,True,completed,recomputed,1.1916890999998486,58134370,2026-06-16T09:00:11.030653954+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,46,46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_046.parquet,804135,0,True,True,completed,recomputed,1.1201713999998901,58150125,2026-06-16T09:00:25.611649275+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,47,47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_047.parquet,808554,0,True,True,completed,recomputed,1.1650620000000345,58175362,2026-06-16T09:00:40.460774183+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,48,48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_048.parquet,805425,0,True,True,completed,recomputed,1.2484509999999318,58193111,2026-06-16T09:00:55.583445311+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,49,49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_049.parquet,807073,0,True,True,completed,recomputed,1.2432905000000574,58199921,2026-06-16T09:01:11.835257769+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,50,50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_050.parquet,806460,0,True,True,completed,recomputed,1.4249644999999873,58177639,2026-06-16T09:01:28.419534206+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,51,51,node_flow_chunk_051.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_051.parquet,806851,0,True,True,completed,recomputed,1.4217215999999553,58156892,2026-06-16T09:01:45.122026920+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,52,52,node_flow_chunk_052.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_052.parquet,806011,0,True,True,completed,recomputed,1.4934837000000698,58150249,2026-06-16T09:02:01.703928709+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,53,53,node_flow_chunk_053.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_053.parquet,806226,0,True,True,completed,recomputed,1.3846365000001697,58181961,2026-06-16T09:02:18.116921425+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,54,54,node_flow_chunk_054.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_054.parquet,807452,0,True,True,completed,recomputed,1.2852307999999084,58301112,2026-06-16T09:02:33.349802732+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,55,55,node_flow_chunk_055.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_055.parquet,805562,0,True,True,completed,recomputed,1.1653652999998485,58288395,2026-06-16T09:02:49.069580793+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,56,56,node_flow_chunk_056.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_056.parquet,806725,0,True,True,completed,recomputed,1.303090900000143,58302808,2026-06-16T09:03:03.950904369+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,57,57,node_flow_chunk_057.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_057.parquet,807870,0,True,True,completed,recomputed,1.2651049999999486,58281704,2026-06-16T09:03:18.228705883+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,58,58,node_flow_chunk_058.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_058.parquet,807482,0,True,True,completed,recomputed,1.2489483000001655,58252649,2026-06-16T09:03:32.344071627+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,59,59,node_flow_chunk_059.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_059.parquet,807688,0,True,True,completed,recomputed,1.1643017999999756,58254927,2026-06-16T09:03:46.869007587+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,60,60,node_flow_chunk_060.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_060.parquet,807955,0,True,True,completed,recomputed,1.1416854999999941,58260459,2026-06-16T09:04:01.202887297+00:00
