missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,historical_linear_extrapolation,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_012.parquet,805041,0,True,True,completed,recomputed,1.159509899999989,58013553,2026-06-16T01:34:28.804845333+00:00
0.2,historical_linear_extrapolation,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_013.parquet,806783,0,True,True,completed,recomputed,1.1743609999999762,58054771,2026-06-16T01:34:43.208680868+00:00
0.2,historical_linear_extrapolation,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_014.parquet,804658,0,True,True,completed,recomputed,1.0887647999999785,58058693,2026-06-16T01:34:57.765173197+00:00
0.2,historical_linear_extrapolation,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_015.parquet,806913,0,True,True,completed,recomputed,1.5403170999999816,57999550,2026-06-16T01:35:12.873625994+00:00
0.2,historical_linear_extrapolation,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_016.parquet,806517,0,True,True,completed,recomputed,1.5346761999999785,58051038,2026-06-16T01:35:31.499993563+00:00
0.2,historical_linear_extrapolation,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_017.parquet,806871,0,True,True,completed,recomputed,1.4999364000000242,58175805,2026-06-16T01:35:49.896522760+00:00
0.2,historical_linear_extrapolation,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_018.parquet,806729,0,True,True,completed,recomputed,1.079150900000002,58167791,2026-06-16T01:36:03.959651232+00:00
0.2,historical_linear_extrapolation,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_019.parquet,807141,0,True,True,completed,recomputed,0.9860301999999592,58180239,2026-06-16T01:36:18.187050343+00:00
0.2,historical_linear_extrapolation,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_020.parquet,806900,0,True,True,completed,recomputed,1.0888649000000896,58194975,2026-06-16T01:36:30.978447437+00:00
0.2,historical_linear_extrapolation,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_021.parquet,805027,0,True,True,completed,recomputed,0.988617999999974,58201481,2026-06-16T01:36:43.764770508+00:00
