seed,num_clients,graph_type,method,client_id,mse,rmse,mae
2025,8,fixed_adjacency,GCN-FedAvg,5,8.566192626953125,2.926805874490675,2.3910105228424072
2025,8,fixed_adjacency,GCN-FedAvg,6,26.671358108520508,5.164432021870412,4.076633453369141
2025,8,fixed_adjacency,GCN-FedAvg,7,118.42728424072266,10.882430070564325,8.19059944152832
2025,8,fixed_adjacency,GCN-Proposed,0,6.657534599304199,2.580219874216963,2.0761616230010986
2025,8,fixed_adjacency,GCN-Proposed,1,20.532434463500977,4.531272940742036,3.5481958389282227
2025,8,fixed_adjacency,GCN-Proposed,2,95.20127868652344,9.75711426019617,7.810640811920166
2025,8,fixed_adjacency,GCN-Proposed,3,20.78012466430664,4.558522201800343,3.546841859817505
2025,8,fixed_adjacency,GCN-Proposed,4,385.2348937988281,19.627401605888338,16.15935516357422
2025,8,fixed_adjacency,GCN-Proposed,5,8.017592430114746,2.831535348554693,2.3103365898132324
2025,8,fixed_adjacency,GCN-Proposed,6,26.676494598388672,5.164929292680459,4.069134712219238
2025,8,fixed_adjacency,GCN-Proposed,7,117.87483215332031,10.857017645436537,8.165736198425293
42,10,fixed_adjacency,Independent,0,6.453258514404297,2.5403264582341176,2.061394453048706
42,10,fixed_adjacency,Independent,1,33.91217803955078,5.823416354645337,4.686214923858643
42,10,fixed_adjacency,Independent,2,137.21038818359375,11.713683800734668,10.200761795043945
42,10,fixed_adjacency,Independent,3,20.24811363220215,4.499790398696605,3.4818930625915527
42,10,fixed_adjacency,Independent,4,107.44078826904297,10.365364840131917,7.235861301422119
42,10,fixed_adjacency,Independent,5,9.040825843811035,3.0067966083210607,2.5042426586151123
42,10,fixed_adjacency,Independent,6,35.22554397583008,5.935111117395366,4.393251895904541
42,10,fixed_adjacency,Independent,7,124.93744659423828,11.177542064078233,9.475298881530762
42,10,fixed_adjacency,Independent,8,35.06130599975586,5.921258818845521,4.528633117675781
42,10,fixed_adjacency,Independent,9,41.502830505371094,6.442269049439886,3.9328672885894775
42,10,fixed_adjacency,GCN-FedAvg,0,5.996987342834473,2.448874709501177,1.9502407312393188
42,10,fixed_adjacency,GCN-FedAvg,1,19.629045486450195,4.430467863155108,3.5847575664520264
42,10,fixed_adjacency,GCN-FedAvg,2,90.78604888916016,9.528171329754738,7.8272552490234375
42,10,fixed_adjacency,GCN-FedAvg,3,14.532135963439941,3.8121038762656956,2.8978419303894043
42,10,fixed_adjacency,GCN-FedAvg,4,120.13633728027344,10.960672300560464,8.076727867126465
42,10,fixed_adjacency,GCN-FedAvg,5,6.5100531578063965,2.5514805815068233,2.1229445934295654
42,10,fixed_adjacency,GCN-FedAvg,6,30.182823181152344,5.493889622221432,3.6030733585357666
42,10,fixed_adjacency,GCN-FedAvg,7,91.9480209350586,9.58895306772635,7.528403282165527
42,10,fixed_adjacency,GCN-FedAvg,8,30.497936248779297,5.522493662176472,4.244862079620361
42,10,fixed_adjacency,GCN-FedAvg,9,60.511871337890625,7.77893767412303,5.277210235595703
42,10,fixed_adjacency,GCN-Proposed,0,5.6807756423950195,2.383437778167288,1.8941586017608643
42,10,fixed_adjacency,GCN-Proposed,1,19.750350952148438,4.444136693683987,3.5959081649780273
42,10,fixed_adjacency,GCN-Proposed,2,91.45405578613281,9.56316139078144,7.857783794403076
42,10,fixed_adjacency,GCN-Proposed,3,14.597395896911621,3.8206538572489945,2.920250177383423
42,10,fixed_adjacency,GCN-Proposed,4,109.56959533691406,10.467549633840484,7.560339450836182
42,10,fixed_adjacency,GCN-Proposed,5,6.089784145355225,2.467748801105012,2.0545730590820312
42,10,fixed_adjacency,GCN-Proposed,6,30.20528221130371,5.495933242981005,3.635016679763794
42,10,fixed_adjacency,GCN-Proposed,7,91.7119369506836,9.576634949223218,7.520536422729492
42,10,fixed_adjacency,GCN-Proposed,8,30.22590446472168,5.497809060409581,4.223112106323242
42,10,fixed_adjacency,GCN-Proposed,9,53.478553771972656,7.312903238247629,4.902495384216309
2024,10,fixed_adjacency,Independent,0,5.85341215133667,2.4193825971385077,1.9071683883666992
2024,10,fixed_adjacency,Independent,1,62.31542205810547,7.894011784771129,6.505449295043945
2024,10,fixed_adjacency,Independent,2,91.7583999633789,9.579060494817794,7.933836936950684
2024,10,fixed_adjacency,Independent,3,30.011981964111328,5.478319264529161,4.319070339202881
2024,10,fixed_adjacency,Independent,4,133.1633758544922,11.539643662370697,8.81787395477295
2024,10,fixed_adjacency,Independent,5,7.861747741699219,2.8038808358593306,2.2932653427124023
2024,10,fixed_adjacency,Independent,6,25.719335556030273,5.071423425038603,3.9082934856414795
2024,10,fixed_adjacency,Independent,7,135.30612182617188,11.632115965127406,10.333720207214355
2024,10,fixed_adjacency,Independent,8,36.43872833251953,6.03644997763748,4.803003787994385
2024,10,fixed_adjacency,Independent,9,355.1675720214844,18.84589005649466,13.351755142211914
2024,10,fixed_adjacency,GCN-FedAvg,0,7.6725172996521,2.7699309196534307,2.1903915405273438
2024,10,fixed_adjacency,GCN-FedAvg,1,34.252464294433594,5.852560490454891,4.327846527099609
2024,10,fixed_adjacency,GCN-FedAvg,2,78.39964294433594,8.854357285785115,7.147716522216797
2024,10,fixed_adjacency,GCN-FedAvg,3,20.312700271606445,4.5069613124151005,3.406506299972534
2024,10,fixed_adjacency,GCN-FedAvg,4,95.53451538085938,9.774175943825616,6.180549144744873
2024,10,fixed_adjacency,GCN-FedAvg,5,7.633058071136475,2.7627989559749864,2.2082929611206055
2024,10,fixed_adjacency,GCN-FedAvg,6,22.35930824279785,4.728563020918496,3.523829460144043
2024,10,fixed_adjacency,GCN-FedAvg,7,64.89264678955078,8.055597233573112,6.6522111892700195
2024,10,fixed_adjacency,GCN-FedAvg,8,27.085241317749023,5.204348308650087,3.963212490081787
2024,10,fixed_adjacency,GCN-FedAvg,9,418.501220703125,20.457302380888958,14.652085304260254
2024,10,fixed_adjacency,GCN-Proposed,0,7.467530727386475,2.732678306604434,2.160248041152954
2024,10,fixed_adjacency,GCN-Proposed,1,34.26338577270508,5.853493467383822,4.320503234863281
2024,10,fixed_adjacency,GCN-Proposed,2,78.37093353271484,8.852735934879954,7.157415866851807
2024,10,fixed_adjacency,GCN-Proposed,3,20.380611419677734,4.51448905410986,3.4028384685516357
2024,10,fixed_adjacency,GCN-Proposed,4,91.56449890136719,9.56893405251427,6.076262950897217
2024,10,fixed_adjacency,GCN-Proposed,5,7.41745662689209,2.723500803541664,2.1811881065368652
2024,10,fixed_adjacency,GCN-Proposed,6,21.90375328063965,4.680144579031683,3.48567533493042
2024,10,fixed_adjacency,GCN-Proposed,7,65.70956420898438,8.106143608953913,6.716258525848389
2024,10,fixed_adjacency,GCN-Proposed,8,27.02504539489746,5.198561858331346,3.9344825744628906
2024,10,fixed_adjacency,GCN-Proposed,9,391.80633544921875,19.79409850054351,14.015342712402344
2025,10,fixed_adjacency,Independent,0,8.527831077575684,2.9202450372487037,2.4223971366882324
2025,10,fixed_adjacency,Independent,1,425.86572265625,20.636514304897762,17.85649299621582
2025,10,fixed_adjacency,Independent,2,128.47816467285156,11.334820892843943,9.726888656616211
2025,10,fixed_adjacency,Independent,3,24.574167251586914,4.957233830634471,3.9886298179626465
2025,10,fixed_adjacency,Independent,4,273.8243103027344,16.547637604888934,12.355353355407715
2025,10,fixed_adjacency,Independent,5,6.95536994934082,2.6373035375816754,2.113114833831787
2025,10,fixed_adjacency,Independent,6,26.00105857849121,5.09912331469746,3.930995464324951
2025,10,fixed_adjacency,Independent,7,141.00961303710938,11.874746862022338,9.68591022491455
2025,10,fixed_adjacency,Independent,8,24.0517578125,4.904259150218308,3.7306649684906006
2025,10,fixed_adjacency,Independent,9,35.16965866088867,5.930401222589301,3.9485857486724854
2025,10,fixed_adjacency,GCN-FedAvg,0,6.275987148284912,2.5051920382048385,2.0116875171661377
2025,10,fixed_adjacency,GCN-FedAvg,1,19.097505569458008,4.370069286574071,3.332763195037842
2025,10,fixed_adjacency,GCN-FedAvg,2,94.94288635253906,9.74386403602488,7.757410526275635
2025,10,fixed_adjacency,GCN-FedAvg,3,20.46229362487793,4.523526680022782,3.528805732727051
2025,10,fixed_adjacency,GCN-FedAvg,4,358.83270263671875,18.942879998477494,15.520742416381836
