missing_rate,mechanism,seed,day_index,file_name,mask_path,missing_dataset_path,actual_missing_count,actual_missing_rate
0.05,mcar_point,42,38,node_flow_chunk_038.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_038_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_038_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,39,node_flow_chunk_039.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_039_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_039_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,40,node_flow_chunk_040.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_040_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_040_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,41,node_flow_chunk_041.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_041_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_041_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,42,node_flow_chunk_042.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_042_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_042_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,43,node_flow_chunk_043.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_043_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_043_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,44,node_flow_chunk_044.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_044_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_044_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,45,node_flow_chunk_045.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_045_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_045_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,46,node_flow_chunk_046.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_046_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_046_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,47,node_flow_chunk_047.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_047_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_047_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,48,node_flow_chunk_048.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_048_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_048_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,49,node_flow_chunk_049.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_049_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_049_missing.parquet,201749,0.05000004956658974
