missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,46,node_flow_chunk_046.parquet,False,all,201749.0,24079845.772897065,10836234989.120049,2042956.552449149,200519.0,1360441.7592127777
0.05,mcar_point,42,geo_func_hybrid,46,node_flow_chunk_046.parquet,False,low_flow,60502.0,4484974.561494489,1521789921.2340007,682010.4939778842,59474.0,556414.7477970531
0.05,mcar_point,42,geo_func_hybrid,46,node_flow_chunk_046.parquet,False,mid_flow,80746.0,10580525.114500003,4751211445.313975,1061607.7698177607,80567.0,535905.3630909678
0.05,mcar_point,42,geo_func_hybrid,46,node_flow_chunk_046.parquet,False,high_flow,60501.0,9014346.096902573,4563233622.572073,299338.2886535043,60478.0,268121.6483247568
0.05,mcar_point,42,geo_func_hybrid,47,node_flow_chunk_047.parquet,False,all,201749.0,23913443.59141545,10949297691.576561,1579981.8230779178,200698.0,1315017.3031544192
0.05,mcar_point,42,geo_func_hybrid,47,node_flow_chunk_047.parquet,False,low_flow,60498.0,4479162.111800203,1646349538.2818494,659497.9205570351,59599.0,529536.3856613723
0.05,mcar_point,42,geo_func_hybrid,47,node_flow_chunk_047.parquet,False,mid_flow,80636.0,10493681.562848037,4798365173.674742,620875.5889621177,80506.0,521853.8099249379
0.05,mcar_point,42,geo_func_hybrid,47,node_flow_chunk_047.parquet,False,high_flow,60615.0,8940599.916767212,4504582979.619972,299608.31355876505,60593.0,263627.1075681088
0.05,mcar_point,42,geo_func_hybrid,48,node_flow_chunk_048.parquet,False,all,201749.0,27169024.662160188,14622608476.793478,2706951.933447469,200797.0,1424119.8224771204
0.05,mcar_point,42,geo_func_hybrid,48,node_flow_chunk_048.parquet,False,low_flow,60311.0,4870882.218156955,1987110362.7484717,1707176.0092967846,59482.0,549958.1758239544
0.05,mcar_point,42,geo_func_hybrid,48,node_flow_chunk_048.parquet,False,mid_flow,80937.0,11884122.362243444,6203158490.503056,640692.8896620655,80823.0,570924.4695227828
0.05,mcar_point,42,geo_func_hybrid,48,node_flow_chunk_048.parquet,False,high_flow,60501.0,10414020.081759792,6432339623.54195,359083.0344886194,60492.0,303237.1771303832
0.05,mcar_point,42,geo_func_hybrid,49,node_flow_chunk_049.parquet,False,all,201749.0,27179432.246648796,13800319387.932978,2748483.273299854,200851.0,1433609.4243962443
0.05,mcar_point,42,geo_func_hybrid,49,node_flow_chunk_049.parquet,False,low_flow,60417.0,4976822.297001391,1933374572.6679857,1608149.2765793158,59636.0,555075.1898685895
0.05,mcar_point,42,geo_func_hybrid,49,node_flow_chunk_049.parquet,False,mid_flow,80468.0,11894727.199092178,5933877922.139358,812587.7502554185,80358.0,578643.2989263226
0.05,mcar_point,42,geo_func_hybrid,49,node_flow_chunk_049.parquet,False,high_flow,60864.0,10307882.750555232,5933066893.125636,327746.2464651191,60857.0,299890.9356013324
0.05,mcar_point,42,geo_func_hybrid,50,node_flow_chunk_050.parquet,False,all,201749.0,26104027.634785324,11916482308.402578,2056477.8770615268,200613.0,1446467.680130579
0.05,mcar_point,42,geo_func_hybrid,50,node_flow_chunk_050.parquet,False,low_flow,60322.0,4773230.73680793,1584778337.782497,769205.7671725748,59351.0,574585.8165983543
0.05,mcar_point,42,geo_func_hybrid,50,node_flow_chunk_050.parquet,False,mid_flow,80729.0,11580814.3230333,5297515519.058137,961167.7629177921,80579.0,584807.3887610193
0.05,mcar_point,42,geo_func_hybrid,50,node_flow_chunk_050.parquet,False,high_flow,60698.0,9749982.574944096,5034188451.561947,326104.34697115957,60683.0,287074.4747712053
0.05,mcar_point,42,geo_func_hybrid,51,node_flow_chunk_051.parquet,False,all,201749.0,27892111.93934753,14830169272.520374,1819779.21774072,200754.0,1502664.2245273048
0.05,mcar_point,42,geo_func_hybrid,51,node_flow_chunk_051.parquet,False,low_flow,60296.0,5097696.171558806,2126906701.7633235,612443.0257580497,59495.0,573991.3077668893
0.05,mcar_point,42,geo_func_hybrid,51,node_flow_chunk_051.parquet,False,mid_flow,80815.0,12265398.33925544,6366937972.193266,849726.7925196347,80643.0,614336.5435609503
