节点ID,node_flow_reference,flow_group,node_history_q95
1520479373,1430.9641273373463,low_flow,1430.9641273373463
1520479375,1347.6997900790855,low_flow,1347.6997900790855
1520479378,1310.5456012663294,low_flow,1310.5456012663294
1520479380,3645.920051949923,high_flow,3645.920051949923
1520479381,2959.2243011974897,high_flow,2959.2243011974897
1520479386,2858.97485751793,mid_flow,2858.97485751793
1520479394,4419.55560402792,high_flow,4419.55560402792
1520479395,2974.770866018827,high_flow,2974.770866018827
1520479402,1997.7286737160605,mid_flow,1997.7286737160605
1520479403,2085.271800557121,mid_flow,2085.271800557121
1520479406,2945.3803831006658,high_flow,2945.3803831006658
1520479409,1358.8186835617316,low_flow,1358.8186835617316
1520479412,1408.4186341332609,low_flow,1408.4186341332609
1520479416,1447.0245711529842,low_flow,1447.0245711529842
1520479419,1481.4825709608735,mid_flow,1481.4825709608735
1520479423,2857.475235735784,mid_flow,2857.475235735784
1520479425,4413.840103899846,high_flow,4413.840103899846
1520479428,1456.0441514312245,low_flow,1456.0441514312245
1520479430,5479.0874263575815,high_flow,5479.0874263575815
1520479431,1384.4605482758068,low_flow,1384.4605482758068
1520479432,1945.8079403736551,mid_flow,1945.8079403736551
1520479436,2967.4446441150103,high_flow,2967.4446441150103
1520479441,1278.847933409644,low_flow,1278.847933409644
1520479442,1452.053499815894,low_flow,1452.053499815894
1520479448,2175.7839555584014,mid_flow,2175.7839555584014
1520479449,1130.6090985907883,low_flow,1130.6090985907883
1520479450,1463.6530391505507,low_flow,1463.6530391505507
1520479452,1302.0670176021388,low_flow,1302.0670176021388
1520479453,1476.3352310931095,mid_flow,1476.3352310931095
1520479454,1386.7012669297515,low_flow,1386.7012669297515
1520479456,2867.0886790791496,mid_flow,2867.0886790791496
1520479461,1365.184109046811,low_flow,1365.184109046811
1520479465,1837.7814481141138,mid_flow,1837.7814481141138
1520479470,3882.0734483062242,high_flow,3882.0734483062242
1520479472,2876.3130623238985,mid_flow,2876.3130623238985
1520479476,1397.0780959832864,low_flow,1397.0780959832864
1520479478,1283.2328481205175,low_flow,1283.2328481205175
1520479479,4021.3399558145493,high_flow,4021.3399558145493
1520479484,2436.0694720158813,mid_flow,2436.0694720158813
1520479489,4311.349421266649,high_flow,4311.349421266649
1520479493,2979.4802025966956,high_flow,2979.4802025966956
1520479496,1466.3750910524461,low_flow,1466.3750910524461
1520479497,2235.210392185899,mid_flow,2235.210392185899
1520479498,1292.4409409820057,low_flow,1292.4409409820057
1520479501,2123.723172547387,mid_flow,2123.723172547387
1520479503,51.19266910240298,low_flow,51.19266910240298
1520479506,3694.8414246606044,high_flow,3694.8414246606044
1520479509,2662.947675861296,mid_flow,2662.947675861296
1520479519,1298.0506271612448,low_flow,1298.0506271612448
1520479521,3628.976040199155,high_flow,3628.976040199155
1520479525,1409.9133841092469,low_flow,1409.9133841092469
1520479530,1394.3389542376408,low_flow,1394.3389542376408
1520479532,3556.1402467821467,high_flow,3556.1402467821467
1520479534,1446.2515969198257,low_flow,1446.2515969198257
1520479535,1490.0056702660734,mid_flow,1490.0056702660734
1520479538,3663.8842133068647,high_flow,3663.8842133068647
1520479539,1438.6420738345287,low_flow,1438.6420738345287
1520479540,1635.2904523005252,mid_flow,1635.2904523005252
1520479541,5827.555215804303,high_flow,5827.555215804303
1520479545,3617.6514712474386,high_flow,3617.6514712474386
1520479548,5643.476602523053,high_flow,5643.476602523053
1520479552,6606.271136174437,high_flow,6606.271136174437
1520479553,4338.218637935451,high_flow,4338.218637935451
1520479554,1372.7533079053535,low_flow,1372.7533079053535
1520479561,1283.3831627017162,low_flow,1283.3831627017162
1520479562,4398.499887935451,high_flow,4398.499887935451
1520479563,1313.6171935034579,low_flow,1313.6171935034579
1520479573,2936.7332483510504,mid_flow,2936.7332483510504
1520479574,1994.1431784707993,mid_flow,1994.1431784707993
1520479576,3708.27774197938,high_flow,3708.27774197938
1520479578,1321.1825731621414,low_flow,1321.1825731621414
1520479579,4153.738503377946,high_flow,4153.738503377946
1520479583,2965.6612688908813,high_flow,2965.6612688908813
1520479588,3507.136306512551,high_flow,3507.136306512551
1520479595,2204.5820752753584,mid_flow,2204.5820752753584
1520479597,2917.8684582319415,mid_flow,2917.8684582319415
1520479598,1354.4170242059427,low_flow,1354.4170242059427
1520479600,4341.419333536117,high_flow,4341.419333536117
1520479605,2949.5618316150103,high_flow,2949.5618316150103
1520479607,2715.8748709256533,mid_flow,2715.8748709256533
1520479609,1454.3782728851818,low_flow,1454.3782728851818
1520479611,1469.7230234615138,mid_flow,1469.7230234615138
1520479612,1482.3326626136654,mid_flow,1482.3326626136654
1520479615,2923.202650726819,mid_flow,2923.202650726819
1520479616,1860.4898291415855,mid_flow,1860.4898291415855
1520479620,1376.5815409675974,low_flow,1376.5815409675974
1520479621,2956.3476242315573,high_flow,2956.3476242315573
1520479623,2907.7100489882173,mid_flow,2907.7100489882173
1520479624,1484.020155609631,mid_flow,1484.020155609631
1520479627,2513.7724809490264,mid_flow,2513.7724809490264
1520479632,1428.5155459544699,low_flow,1428.5155459544699
1520479635,2685.201492059426,mid_flow,2685.201492059426
1520479639,1365.348508741035,low_flow,1365.348508741035
1520479640,5879.427762391138,high_flow,5879.427762391138
1520479641,2885.190065477715,mid_flow,2885.190065477715
1520479642,1834.079761942879,mid_flow,1834.079761942879
1520479645,5611.850357806096,high_flow,5611.850357806096
1520479648,2037.1644897460938,mid_flow,2037.1644897460938
1520479650,2652.2555511974897,mid_flow,2652.2555511974897
