seed,noniid_level,method,client_id,mse,rmse,mae,mape
2024,high,FedAvg,3,149.84420776367188,12.241086870195469,8.98311710357666,127.20916271209717
2024,high,FedAvg,4,304.6781005859375,17.45503081022596,12.693623542785645,27.346765995025635
2024,high,Proposed,0,96.91583251953125,9.84458391805013,7.397884368896484,16.355925798416138
2024,high,Proposed,1,439.43463134765625,20.962696185072573,17.349472045898438,88.60495686531067
2024,high,Proposed,2,89.08909606933594,9.43870203308357,6.92828893661499,14.35566246509552
2024,high,Proposed,3,158.93910217285156,12.60710522573884,9.272592544555664,132.39727020263672
2024,high,Proposed,4,342.385009765625,18.503648552802364,13.991744995117188,28.919455409049988
2025,high,Independent,0,521.5363159179688,22.837169612672422,18.175701141357422,344.3977355957031
2025,high,Independent,1,522.2015380859375,22.85172943315095,17.546775817871094,335.82170009613037
2025,high,Independent,2,90.43669891357422,9.50982118199781,7.7155537605285645,10.692372918128967
2025,high,Independent,3,141.2387237548828,11.884389919338847,10.39892864227295,728.5800457000732
2025,high,Independent,4,354.7967224121094,18.836048481889968,14.93274974822998,24.996206164360046
2025,high,FedAvg,0,312.2640075683594,17.67099339506298,14.1715087890625,247.96819686889648
2025,high,FedAvg,1,499.0054016113281,22.33842880802784,18.187963485717773,477.3721218109131
2025,high,FedAvg,2,71.28933715820312,8.443301318690642,6.499691963195801,9.111835807561874
2025,high,FedAvg,3,191.0814208984375,13.8232203519454,11.843673706054688,814.9453163146973
2025,high,FedAvg,4,297.5925598144531,17.250871276966073,13.55817699432373,25.97581446170807
2025,high,Proposed,0,310.91748046875,17.632852306667516,14.146334648132324,249.0915060043335
2025,high,Proposed,1,495.8091735839844,22.266772859666585,18.163780212402344,476.66802406311035
2025,high,Proposed,2,68.67289733886719,8.28691120616525,6.358314037322998,8.935465663671494
2025,high,Proposed,3,172.1149139404297,13.119257370004968,11.096372604370117,751.1313438415527
2025,high,Proposed,4,288.6015319824219,16.988276309926853,13.417159080505371,25.447377562522888
