experiment,scenario_type,scenario,method,seed,dropout_rate,delay_rounds,noise_std,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
fed_robustness,communication_delay,communication_delay@2,Proposed,5678,,2.0,,85.00410766601563,7.90474258591963,6.451918745040894,15.139621868729591,0.1730228178506041,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,FedAvg,42,,,0.0,75.85069599151612,7.768677075093765,6.324328279495239,31.016627624630928,0.03961286932765347,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,FedAvg,1234,,,0.0,107.46272449493408,8.515714999894765,6.9668297290802,109.88637782633305,0.22607910313897034,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,FedAvg,2024,,,0.0,62.38265857696533,7.250769911922058,5.50184440612793,31.963312104344368,0.14095984204809975,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,FedAvg,3407,,,0.0,67.42031574249268,7.237227008226304,5.308116245269775,64.72576536238194,0.3163049653157379,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,FedAvg,5678,,,0.0,84.96405944824218,7.832851889138885,6.338796377182007,14.601234793663025,0.21030566167592718,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,Proposed,42,,,0.0,72.51532974243165,7.570107297335357,6.117518758773803,30.43290041387081,0.09908376304800248,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,Proposed,1234,,,0.0,107.90778636932373,8.482442659876511,6.912314701080322,106.03964261710644,0.24386240429146006,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,Proposed,2024,,,0.0,61.19979820251465,7.186986782324394,5.434982585906982,31.697975397109985,0.15921480825697004,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,Proposed,3407,,,0.0,66.53514995574952,7.181516888664859,5.273908090591431,63.68181511759758,0.3287282991289654,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.0,Proposed,5678,,,0.0,84.66721820831299,7.80698107593974,6.296970558166504,14.38147284090519,0.2198433101782519,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,FedAvg,42,,,0.02,72.58597526550292,7.282254166335368,5.778275203704834,28.076276667416096,0.22255645743177016,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,FedAvg,1234,,,0.02,104.78547286987305,8.278274897461545,6.663813161849975,92.30282291769981,0.2969253725958003,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,FedAvg,2024,,,0.02,74.88812942504883,7.898788388002939,6.27003116607666,34.7440380603075,-0.005590184417513422,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,FedAvg,3407,,,0.02,69.01813087463378,7.3391637878787135,5.4078075885772705,62.998943626880646,0.3076989224476578,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,FedAvg,5678,,,0.02,85.51988735198975,7.802971830334419,6.298449516296387,14.49703797698021,0.2270673033626896,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,Proposed,42,,,0.02,72.57062826156616,7.265001565975721,5.744264841079712,27.878658324480057,0.23123616016500864,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,Proposed,1234,,,0.02,104.74413585662842,8.250430732421744,6.605038118362427,88.93318764865398,0.3067263533498683,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,Proposed,2024,,,0.02,73.20225086212159,7.801479884390072,6.16014552116394,34.0284513682127,0.030904717287747817,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,Proposed,3407,,,0.02,68.99015007019042,7.355079188408371,5.436922550201416,62.8616938740015,0.30114920637831677,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.02,Proposed,5678,,,0.02,85.52319650650024,7.806264117203115,6.29525933265686,14.47571188211441,0.22687398852771676,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,FedAvg,42,,,0.05,79.15734958648682,7.546557893032866,5.855058288574218,26.16638220846653,0.1807697663153936,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,FedAvg,1234,,,0.05,105.42371215820313,8.521123015934531,6.988456916809082,106.91157557070255,0.20894496578093377,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,FedAvg,2024,,,0.05,81.397904586792,8.194851096695928,6.595313501358032,35.651775524020195,-0.08199100894738438,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,FedAvg,3407,,,0.05,76.28726711273194,7.843469356330374,5.9274938106536865,70.71835346519947,0.1511025346281751,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,FedAvg,5678,,,0.05,87.9764404296875,8.030590977983454,6.591478967666626,15.540601909160614,0.15229469489381994,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,Proposed,42,,,0.05,79.22240810394287,7.554936345868947,5.839072942733765,26.039391942322254,0.17912333136810965,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,Proposed,1234,,,0.05,105.05238704681396,8.464477441104467,6.912795162200927,103.13425198197365,0.23064973971443906,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,Proposed,2024,,,0.05,78.4227741241455,8.044444671618086,6.422379112243652,34.74527195096016,-0.033192850092073733,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,Proposed,3407,,,0.05,77.77076683044433,7.949599831670122,6.043129205703735,71.63332112133503,0.11744655488503182,,,3.0,3.0
fed_robustness,gradient_noise,gradient_noise@0.05,Proposed,5678,,,0.05,88.03997993469238,8.039758326056145,6.596800470352173,15.57024635374546,0.15014013753888233,,,3.0,3.0
