rank,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,recommended_for_top3,recommended_for_top5
187,136,4,16,116.393194,39.82456970750988,17,49559.05078125,False,False
188,581,19,11,116.303194,40.09456970750988,23,45132.59375,False,False
189,502,16,22,116.501194,40.040569707509874,29,42217.78515625,False,False
190,217,7,7,116.231194,39.87856970750988,13,37962.89453125,False,False
191,223,7,13,116.339194,39.87856970750988,12,35362.42578125,False,False
192,306,10,6,116.213194,39.93256970750988,23,35261.6328125,False,False
193,354,11,24,116.537194,39.95056970750988,16,34851.859375,False,False
194,409,13,19,116.447194,39.98656970750988,12,33813.64453125,False,False
195,159,5,9,116.267194,39.842569707509874,22,33171.28515625,False,False
196,472,15,22,116.501194,40.02256970750988,25,32720.69921875,False,False
197,294,9,24,116.537194,39.91456970750988,12,31960.169921875,False,False
198,537,17,27,116.591194,40.05856970750988,12,29196.5,False,False
199,607,20,7,116.231194,40.11256970750988,10,27860.806640625,False,False
200,366,12,6,116.213194,39.96856970750988,14,27098.73828125,False,False
201,5,0,5,116.195194,39.75256970750988,11,27077.416015625,False,False
202,322,10,22,116.501194,39.93256970750988,15,24603.138671875,False,False
203,299,9,29,116.627194,39.91456970750988,11,23234.583984375,False,False
204,564,18,24,116.537194,40.07656970750988,18,23094.58984375,False,False
205,353,11,23,116.519194,39.95056970750988,12,22873.2890625,False,False
206,60,2,0,116.105194,39.78856970750988,8,22561.068359375,False,False
207,71,2,11,116.303194,39.78856970750988,12,20140.3359375,False,False
208,493,16,13,116.339194,40.040569707509874,5,18821.41015625,False,False
209,565,18,25,116.555194,40.07656970750988,15,15229.759765625,False,False
210,80,2,20,116.465194,39.78856970750988,9,15191.24609375,False,False
211,264,8,24,116.537194,39.89656970750988,6,14477.904296875,False,False
212,444,14,24,116.537194,40.00456970750988,4,12898.6611328125,False,False
213,538,17,28,116.609194,40.05856970750988,2,11810.08984375,False,False
214,395,13,5,116.195194,39.98656970750988,7,9231.962890625,False,False
215,50,1,20,116.465194,39.77056970750988,5,8861.4580078125,False,False
216,526,17,16,116.393194,40.05856970750988,4,5443.6474609375,False,False
217,128,4,8,116.249194,39.82456970750988,4,5368.63330078125,False,False
218,501,16,21,116.483194,40.040569707509874,3,4191.18310546875,False,False
219,597,19,27,116.591194,40.09456970750988,2,4121.275390625,False,False
220,471,15,21,116.483194,40.02256970750988,3,3413.450927734375,False,False
221,617,20,17,116.411194,40.11256970750988,1,2909.00830078125,False,False
222,110,3,20,116.465194,39.80656970750988,1,2174.755859375,False,False
223,35,1,5,116.195194,39.77056970750988,1,1352.3001708984375,False,False
