missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.3,mean_fill,37,37,low_flow,False,400249,400249,75,82.74242401123047,197.8730010986328,0.1577929258346557,0.0930794551968574,0.1329261918886086,33117572.0,15671238656.0,62067.84765625,393350,37002.62109375,397538,0.0,1488.593017578125
0.3,mean_fill,37,37,mid_flow,False,400414,400414,79,127.23278045654295,234.07302856445312,0.0572056174278259,0.0576647073030471,0.1644589375025998,50945788.0,21938755584.0,22905.9296875,400414,23089.755859375,400414,1488.5936279296875,2911.88525390625
0.3,mean_fill,37,37,overall,False,1211615,1211615,257,112.22144317626952,226.7242889404297,0.0819559469819068,0.0615741796791553,0.0217105132270426,135969184.0,62281744384.0,98733.640625,1204716,74437.2734375,1208904,0.0,10443.064453125
0.3,mean_fill,38,38,high_flow,False,409351,409351,109,135.49363708496094,259.728271484375,0.0358906090259552,0.0372649654746055,0.0343750759333141,55464456.0,27614316544.0,14691.857421875,409351,15254.4501953125,409351,2911.890625,10467.60546875
0.3,mean_fill,38,38,low_flow,False,404091,404091,92,91.30806732177734,212.2402191162109,0.1490191221237182,0.0977194011211395,0.1425777572640635,36896768.0,18202646528.0,59218.26171875,397387,39226.62109375,401421,0.0,1488.5927734375
0.3,mean_fill,38,38,mid_flow,False,396056,396056,74,144.80723571777344,262.4862976074219,0.0650785863399505,0.0646658241748809,0.1844215478804909,57351772.0,27287885824.0,25774.765625,396056,25611.2890625,396056,1488.59326171875,2911.888427734375
0.3,mean_fill,38,38,overall,False,1209498,1209498,275,123.7811279296875,245.85015869140625,0.082877792418003,0.0663659945130348,0.0234867620321923,149713024.0,73104842752.0,99684.9140625,1202794,80092.34375,1206828,0.0,10467.60546875
0.3,mean_fill,39,39,high_flow,False,410890,410890,88,124.0686492919922,233.6183624267578,0.0329318344593048,0.0340121425688266,0.0311184432668074,50978568.0,22425364480.0,13531.361328125,410890,13975.2490234375,410890,2911.892822265625,10419.28515625
0.3,mean_fill,39,39,low_flow,False,401785,401785,84,84.94166564941406,192.6259002685547,0.1269956976175308,0.0935222059488296,0.1294013298396423,34128288.0,14908127232.0,50194.4140625,395245,37335.46875,399215,0.0,1488.5928955078125
0.3,mean_fill,39,39,mid_flow,False,398578,398578,83,131.98419189453125,233.3875732421875,0.0592885687947273,0.0591190196573734,0.163977141963215,52605996.0,21710446592.0,23631.119140625,398578,23563.541015625,398578,1488.5933837890625,2911.88671875
